Model,ROC AUC,PR AUC,Class,Precision,Recall,F1-score
Multinomial Logit,0.5718812148178111,0.1665541992106315,Other Injury,0.9193083573487032,0.7096774193548387,0.8010043942247332
,,,KSI,0.14144736842105263,0.43434343434343436,0.21339950372208435
Random Forest,0.6204424669385739,0.1563570430406871,Other Injury,0.922425952045134,0.7274749721913237,0.8134328358208955
,,,KSI,0.1522491349480969,0.4444444444444444,0.2268041237113402
XGBOOST,0.6189368658779115,0.1678465735734489,Other Injury,0.9090909090909091,0.9454949944382648,0.9269356597600873
,,,KSI,0.2222222222222222,0.1414141414141414,0.1728395061728395
