CASE_ID,PARTY_NUMBER,VICTIM_NUMBER,VICTIM_ROLE,VICTIM_SEX,VICTIM_AGE,VICTIM_DEGREE_OF_INJURY,VICTIM_SEATING_POSITION,VICTIM_SAFETY_EQUIP_1,VICTIM_SAFETY_EQUIP_2,VICTIM_EJECTED,COUNTY,CITY,ACCIDENT_YEAR
8845492,1,1,4,M,58,3,1,P,W,0,"SAN FRANCISCO","SAN FRANCISCO",2019
8845492,1,2,2,F,7,0,5,M,G,0,"SAN FRANCISCO","SAN FRANCISCO",2019
8464237,1,1,4,F,40,2,0,-,P,0,"SAN FRANCISCO","SAN FRANCISCO",2017
7173275,2,1,4,M,69,4,1,P,A,1,"SAN FRANCISCO","SAN FRANCISCO",2016
8594613,1,1,4,M,32,3,1,-,P,2,"SAN FRANCISCO","SAN FRANCISCO",2018
8594613,2,1,2,F,31,0,2,M,P,0,"SAN FRANCISCO","SAN FRANCISCO",2018
7173634,1,1,4,M,48,4,1,-,-,2,"SAN FRANCISCO","SAN FRANCISCO",2016
7110776,2,1,4,M,22,4,1,P,-,1,"SAN FRANCISCO","SAN FRANCISCO",2015
8305366,2,1,4,M,28,4,1,P,W,1,"SAN FRANCISCO","SAN FRANCISCO",2017
6546116,1,1,2,F,19,0,3,M,G,0,"SAN FRANCISCO","SAN FRANCISCO",2014
6546116,1,2,2,M,18,0,4,M,G,0,"SAN FRANCISCO","SAN FRANCISCO",2014
6546116,1,3,2,F,19,0,2,M,G,0,"SAN FRANCISCO","SAN FRANCISCO",2014
6546116,2,1,4,M,34,4,1,P,V,3,"SAN FRANCISCO","SAN FRANCISCO",2014
8553241,1,1,4,M,32,4,9,P,W,1,"SAN FRANCISCO","SAN FRANCISCO",2018
8803693,2,1,4,M,29,4,1,-,-,3,"SAN FRANCISCO","SAN FRANCISCO",2019
6547469,1,1,4,M,30,3,1,P,W,0,"SAN FRANCISCO","SAN FRANCISCO",2014
8900761,1,1,4,M,61,3,1,P,A,1,"SAN FRANCISCO","SAN FRANCISCO",2019
8900761,2,1,1,M,23,3,1,N,W,1,"SAN FRANCISCO","SAN FRANCISCO",2019
9075047,1,1,4,F,25,3,1,P,A,0,"SAN FRANCISCO","SAN FRANCISCO",2020
6547468,2,1,4,M,24,3,1,P,-,1,"SAN FRANCISCO","SAN FRANCISCO",2014
9087276,1,1,4,F,26,3,1,P,W,1,"SAN FRANCISCO","SAN FRANCISCO",2020
7040606,1,1,4,M,28,3,9,-,-,3,"SAN FRANCISCO","SAN FRANCISCO",2015
9262917,1,1,4,F,38,2,1,P,W,1,"SAN FRANCISCO","SAN FRANCISCO",2021
8845772,2,1,4,M,6,3,9,-,-,3,"SAN FRANCISCO","SAN FRANCISCO",2019
9293082,1,1,4,-,37,2,-,P,A,1,"SAN FRANCISCO","SAN FRANCISCO",2021
9543170,1,1,4,M,43,3,2,P,W,1,"SAN FRANCISCO","SAN FRANCISCO",2022
9636251,1,1,4,M,998,4,1,P,V,0,"SAN FRANCISCO","SAN FRANCISCO",2023
8201088,2,1,4,F,44,3,9,-,-,3,"SAN FRANCISCO","SAN FRANCISCO",2017
8573791,1,1,4,M,28,4,1,P,V,1,"SAN FRANCISCO","SAN FRANCISCO",2018
8573791,2,1,2,M,44,0,3,M,G,0,"SAN FRANCISCO","SAN FRANCISCO",2018
8892080,2,1,4,M,35,7,1,P,B,3,"SAN FRANCISCO","SAN FRANCISCO",2019
8491233,2,1,4,M,32,4,1,P,W,1,"SAN FRANCISCO","SAN FRANCISCO",2017
8574159,2,1,4,F,28,3,1,P,W,1,"SAN FRANCISCO","SAN FRANCISCO",2018
8597207,1,1,4,M,50,3,9,-,-,3,"SAN FRANCISCO","SAN FRANCISCO",2018
6997518,1,1,2,M,9,0,3,M,C,0,"SAN FRANCISCO","SAN FRANCISCO",2014
6997518,2,1,4,M,54,4,1,P,W,3,"SAN FRANCISCO","SAN FRANCISCO",2014
9047613,2,1,4,M,39,3,1,P,-,1,"SAN FRANCISCO","SAN FRANCISCO",2020
9262686,2,1,4,F,31,2,1,P,W,1,"SAN FRANCISCO","SAN FRANCISCO",2021
8039931,1,1,4,M,27,4,1,P,V,1,"SAN FRANCISCO","SAN FRANCISCO",2016
7100273,2,1,3,M,59,4,1,P,V,0,"SAN FRANCISCO","SAN FRANCISCO",2015
8438135,2,1,3,F,24,2,9,-,-,3,"SAN FRANCISCO","SAN FRANCISCO",2017
8491003,2,1,4,M,33,3,0,P,W,0,"SAN FRANCISCO","SAN FRANCISCO",2017
9285699,1,1,4,M,37,3,1,P,-,1,"SAN FRANCISCO","SAN FRANCISCO",2021
9285699,2,1,2,M,24,0,6,M,G,0,"SAN FRANCISCO","SAN FRANCISCO",2021
9376344,2,1,4,M,31,3,1,P,-,1,"SAN FRANCISCO","SAN FRANCISCO",2021
9293072,2,1,4,F,30,3,-,P,A,2,"SAN FRANCISCO","SAN FRANCISCO",2021
9634758,2,1,4,M,24,4,1,P,V,0,"SAN FRANCISCO","SAN FRANCISCO",2023
9636303,2,1,4,M,55,3,1,P,B,1,"SAN FRANCISCO","SAN FRANCISCO",2023
8493322,1,1,4,M,34,2,1,P,V,1,"SAN FRANCISCO","SAN FRANCISCO",2017
9348955,1,1,2,X,26,0,3,M,G,0,"SAN FRANCISCO","SAN FRANCISCO",2022
9348955,2,1,4,M,57,3,1,P,W,0,"SAN FRANCISCO","SAN FRANCISCO",2022
9468674,2,1,4,F,27,3,1,P,A,1,"SAN FRANCISCO","SAN FRANCISCO",2023
8995138,2,1,4,F,33,3,1,P,W,1,"SAN FRANCISCO","SAN FRANCISCO",2019
9295586,2,1,4,F,50,4,-,P,W,0,"SAN FRANCISCO","SAN FRANCISCO",2021
9347324,2,1,4,-,38,4,-,-,-,-,"SAN FRANCISCO","SAN FRANCISCO",2021
6546086,2,1,3,F,62,3,9,-,-,0,"SAN FRANCISCO","SAN FRANCISCO",2014
9472274,1,1,4,M,60,4,1,P,A,1,"SAN FRANCISCO","SAN FRANCISCO",2022
8620651,1,1,4,M,33,4,1,P,V,1,"SAN FRANCISCO","SAN FRANCISCO",2018
8698521,2,1,3,F,88,3,9,-,-,3,"SAN FRANCISCO","SAN FRANCISCO",2018
8305474,1,1,4,M,27,3,9,W,-,0,"SAN FRANCISCO","SAN FRANCISCO",2017
8382145,2,1,4,M,30,3,1,P,V,0,"SAN FRANCISCO","SAN FRANCISCO",2017
8515493,1,1,4,M,61,3,1,P,W,0,"SAN FRANCISCO","SAN FRANCISCO",2017
8636901,1,1,4,M,34,3,1,-,-,0,"SAN FRANCISCO","SAN FRANCISCO",2018
7006969,2,1,4,M,47,3,1,P,W,1,"SAN FRANCISCO","SAN FRANCISCO",2014
6557084,1,1,2,F,4,0,4,M,Q,0,"SAN FRANCISCO","SAN FRANCISCO",2014
6557084,2,1,4,M,57,2,1,P,V,1,"SAN FRANCISCO","SAN FRANCISCO",2014
